Reporting country,Reference period,Item,Item code,Value,Date of extraction (yyyymmdd),Number of submissions per reporting country (NCA) and reference date
AUSTRIA,2016 Q3,Risk margin,R0640,877.95,20190319,41
AUSTRIA,2016 Q3,"Holdings in related undertakings, including participations",R0090,26007.95,20190319,41
AUSTRIA,2016 Q3,"Any other assets, not elsewhere shown",R0420,329.64,20190319,41
AUSTRIA,2016 Q3,Technical provisions – index-linked and unit-linked,R0690,17693.95,20190319,41
AUSTRIA,2016 Q3,Risk margin,R0590,131.67,20190319,41
AUSTRIA,2016 Q3,Risk margin,R0720,236.52,20190319,41
AUSTRIA,2016 Q3,"Payables (trade, not insurance)",R0840,1901.80,20190319,41
AUSTRIA,2016 Q3,Technical provisions calculated as a whole,R0620,0.00,20190319,41
AUSTRIA,2016 Q3,Pension benefit obligations,R0760,2361.33,20190319,41
AUSTRIA,2016 Q3,Equities - unlisted,R0120,485.94,20190319,41
AUSTRIA,2016 Q3,Total liabilities,R0900,111158.60,20190319,41
AUSTRIA,2016 Q3,Deposits to cedants,R0350,1584.41,20190319,41
AUSTRIA,2016 Q3,Loans and mortgages to individuals,R0250,130.29,20190319,41
AUSTRIA,2016 Q3,Contingent liabilities,R0740,15.67,20190319,41
AUSTRIA,2016 Q3,Technical provisions calculated as a whole,R0570,0.00,20190319,41
AUSTRIA,2016 Q3,Derivatives,R0790,87.72,20190319,41
AUSTRIA,2016 Q3,Deposits other than cash equivalents,R0200,626.40,20190319,41
AUSTRIA,2016 Q3,Subordinated liabilities,R0850,3537.72,20190319,41
AUSTRIA,2016 Q3,Risk margin,R0680,1246.96,20190319,41
AUSTRIA,2016 Q3,Technical provisions – non-life (excluding health),R0520,9151.03,20190319,41
AUSTRIA,2016 Q3,Property (other than for own use),R0080,6915.52,20190319,41
AUSTRIA,2016 Q3,Technical provisions calculated as a whole,R0700,47.62,20190319,41
AUSTRIA,2016 Q3,Equities,R0100,905.95,20190319,41
AUSTRIA,2016 Q3,Loans and mortgages,R0230,4517.00,20190319,41
AUSTRIA,2016 Q3,Technical provisions - life (excluding index-linked and unit-linked),R0600,66170.93,20190319,41
AUSTRIA,2016 Q3,Technical provisions calculated as a whole,R0530,12.35,20190319,41
AUSTRIA,2016 Q3,Best Estimate,R0710,17409.81,20190319,41
AUSTRIA,2016 Q3,Life excluding health and index-linked and unit-linked,R0330,762.78,20190319,41
AUSTRIA,2016 Q3,Technical provisions calculated as a whole,R0660,0.01,20190319,41
AUSTRIA,2016 Q3,Technical provisions – non-life,R0510,10039.21,20190319,41
AUSTRIA,2016 Q3,Government Bonds,R0140,24616.28,20190319,41
AUSTRIA,2016 Q3,Other loans and mortgages,R0260,4339.74,20190319,41
AUSTRIA,2016 Q3,Health similar to non-life,R0300,281.25,20190319,41
AUSTRIA,2016 Q3,Technical provisions - health (similar to non-life),R0560,888.18,20190319,41
AUSTRIA,2016 Q3,Equities - listed,R0110,420.01,20190319,41
AUSTRIA,2016 Q3,Best Estimate,R0670,60896.55,20190319,41
AUSTRIA,2016 Q3,Subordinated liabilities in Basic Own Funds,R0870,3537.72,20190319,41
AUSTRIA,2016 Q3,Best Estimate,R0580,756.51,20190319,41
AUSTRIA,2016 Q3,Amounts due in respect of own fund items or initial fund called up but not yet paid in,R0400,0.00,20190319,41
AUSTRIA,2016 Q3,Reinsurance receivables,R0370,637.66,20190319,41
AUSTRIA,2016 Q3,Risk margin,R0550,878.49,20190319,41
AUSTRIA,2016 Q3,Reinsurance payables,R0830,675.72,20190319,41
AUSTRIA,2016 Q3,Total assets,R0500,141407.00,20190319,41
AUSTRIA,2016 Q3,Subordinated liabilities not in Basic Own Funds,R0860,0.00,20190319,41
AUSTRIA,2016 Q3,Deposits from reinsurers,R0770,1735.97,20190319,41
AUSTRIA,2016 Q3,Structured notes,R0160,2656.45,20190319,41
AUSTRIA,2016 Q3,Debts owed to credit institutions,R0800,180.56,20190319,41
AUSTRIA,2016 Q4,Life excluding health and index-linked and unit-linked,R0330,615.35,20190319,38
AUSTRIA,2016 Q4,Loans and mortgages,R0230,4640.21,20190319,38
AUSTRIA,2016 Q4,Technical provisions – non-life (excluding health),R0520,8079.67,20190319,38
AUSTRIA,2016 Q4,Amounts due in respect of own fund items or initial fund called up but not yet paid in,R0400,0.00,20190319,38
AUSTRIA,2016 Q4,Deposits to cedants,R0350,1377.08,20190319,38
AUSTRIA,2016 Q4,Provisions other than technical provisions,R0750,881.18,20190319,38
AUSTRIA,2016 Q4,Technical provisions - life (excluding index-linked and unit-linked),R0600,62149.90,20190319,38
AUSTRIA,2016 Q4,Technical provisions – non-life,R0510,8870.72,20190319,38
AUSTRIA,2016 Q4,Technical provisions calculated as a whole,R0660,0.01,20190319,38
AUSTRIA,2016 Q4,Best Estimate,R0580,656.94,20190319,38
AUSTRIA,2016 Q4,Government Bonds,R0140,24076.00,20190319,38
AUSTRIA,2016 Q4,"Payables (trade, not insurance)",R0840,1691.55,20190319,38
AUSTRIA,2016 Q4,Best Estimate,R0670,58362.80,20190319,38
AUSTRIA,2016 Q4,Bonds,R0130,51770.99,20190319,38
AUSTRIA,2016 Q4,Deferred tax assets,R0040,1240.44,20190319,38
AUSTRIA,2016 Q4,Equities - unlisted,R0120,600.01,20190319,38
AUSTRIA,2016 Q4,Risk margin,R0590,134.11,20190319,38
AUSTRIA,2016 Q4,Insurance & intermediaries payables,R0820,852.30,20190319,38
AUSTRIA,2016 Q4,Collateralised securities,R0170,111.03,20190319,38
AUSTRIA,2016 Q4,Reinsurance receivables,R0370,595.33,20190319,38
AUSTRIA,2016 Q4,Loans on policies,R0240,46.60,20190319,38
AUSTRIA,2016 Q4,Deposits other than cash equivalents,R0200,774.62,20190319,38
AUSTRIA,2016 Q4,Total liabilities,R0900,105145.33,20190319,38
AUSTRIA,2016 Q4,Risk margin,R0550,862.09,20190319,38
AUSTRIA,2016 Q4,Technical provisions - health (similar to life),R0610,2721.44,20190319,38
AUSTRIA,2016 Q4,Deposits from reinsurers,R0770,1556.35,20190319,38
AUSTRIA,2016 Q4,Deferred tax liabilities,R0780,3963.49,20190319,38
AUSTRIA,2016 Q4,Total assets,R0500,139407.82,20190319,38
AUSTRIA,2016 Q4,Risk margin,R0680,1065.65,20190319,38
AUSTRIA,2016 Q4,Insurance and intermediaries receivables,R0360,655.41,20190319,38
AUSTRIA,2016 Q4,Pension benefit obligations,R0760,2354.36,20190319,38
AUSTRIA,2016 Q4,Subordinated liabilities not in Basic Own Funds,R0860,260.86,20190319,38
AUSTRIA,2016 Q4,Technical provisions – index-linked and unit-linked,R0690,17686.09,20190319,38
AUSTRIA,2016 Q4,Collective Investments Undertakings,R0180,14642.18,20190319,38
AUSTRIA,2016 Q4,Corporate Bonds,R0150,25476.97,20190319,38
AUSTRIA,2016 Q4,Technical provisions calculated as a whole,R0700,48.70,20190319,38
AUSTRIA,2016 Q4,Derivatives,R0790,75.55,20190319,38
AUSTRIA,2016 Q4,Other loans and mortgages,R0260,4464.40,20190319,38
AUSTRIA,2016 Q4,Best Estimate,R0540,7204.68,20190319,38
AUSTRIA,2016 Q4,Other investments,R0210,0.01,20190319,38
AUSTRIA,2016 Q4,Technical provisions calculated as a whole,R0620,0.00,20190319,38
AUSTRIA,2016 Q4,Equities - listed,R0110,520.01,20190319,38
AUSTRIA,2016 Q4,Loans and mortgages to individuals,R0250,129.21,20190319,38
AUSTRIA,2016 Q4,Non-life excluding health,R0290,2300.20,20190319,38
AUSTRIA,2016 Q4,"Any other liabilities, not elsewhere shown",R0880,418.48,20190319,38
AUSTRIA,2016 Q4,Health similar to life,R0320,-6.36,20190319,38
AUSTRIA,2016 Q4,Technical provisions – life (excluding health and index-linked and unit-linked),R0650,59428.46,20190319,38
AUSTRIA,2016 Q4,Assets held for index-linked and unit-linked contracts,R0220,19603.44,20190319,38
AUSTRIA,2016 Q4,Investments (other than assets held for index-linked and unit-linked contracts),R0070,102945.44,20190319,38
AUSTRIA,2016 Q4,Best Estimate,R0630,1953.60,20190319,38
AUSTRIA,2016 Q4,"Property, plant & equipment held for own use",R0060,975.79,20190319,38
AUSTRIA,2016 Q4,Non-life and health similar to non-life,R0280,2584.00,20190319,38
AUSTRIA,2016 Q4,"Any other assets, not elsewhere shown",R0420,336.43,20190319,38
AUSTRIA,2016 Q4,Intangible assets,R0030,0.00,20190319,38
AUSTRIA,2016 Q4,Own shares (held directly),R0390,14.65,20190319,38
AUSTRIA,2016 Q4,Cash and cash equivalents,R0410,2120.10,20190319,38
AUSTRIA,2016 Q4,Derivatives,R0190,98.60,20190319,38
AUSTRIA,2016 Q4,"Receivables (trade, not insurance)",R0380,1287.25,20190319,38
AUSTRIA,2016 Q4,Technical provisions calculated as a whole,R0530,12.91,20190319,38
AUSTRIA,2016 Q4,Subordinated liabilities in Basic Own Funds,R0870,3123.95,20190319,38
AUSTRIA,2016 Q4,Technical provisions - health (similar to non-life),R0560,791.05,20190319,38
AUSTRIA,2016 Q4,Pension benefit surplus,R0050,48.26,20190319,38
AUSTRIA,2016 Q4,Financial liabilities other than debts owed to credit institutions,R0810,586.81,20190319,38
AUSTRIA,2016 Q4,Health similar to non-life,R0300,283.79,20190319,38
AUSTRIA,2016 Q4,Risk margin,R0640,767.84,20190319,38
AUSTRIA,2016 Q4,Technical provisions calculated as a whole,R0570,0.00,20190319,38
AUSTRIA,2016 Q4,Life index-linked and unit-linked,R0340,375.01,20190319,38
AUSTRIA,2016 Q4,Contingent liabilities,R0740,24.51,20190319,38
AUSTRIA,2016 Q4,Subordinated liabilities,R0850,3384.80,20190319,38
AUSTRIA,2016 Q4,Reinsurance payables,R0830,493.99,20190319,38
AUSTRIA,2016 Q4,"Holdings in related undertakings, including participations",R0090,27462.88,20190319,38
AUSTRIA,2016 Q4,Structured notes,R0160,2106.99,20190319,38
AUSTRIA,2016 Q4,"Life and health similar to life, excluding health and index-linked and unit-linked",R0310,608.99,20190319,38
AUSTRIA,2016 Q4,Property (other than for own use),R0080,7076.16,20190319,38
AUSTRIA,2016 Q4,Debts owed to credit institutions,R0800,155.24,20190319,38
AUSTRIA,2016 Q4,Reinsurance recoverables from:,R0270,3568.00,20190319,38
AUSTRIA,2016 Q4,Equities,R0100,1120.01,20190319,38
AUSTRIA,2016 Q4,Best Estimate,R0710,17401.39,20190319,38
AUSTRIA,2016 Q4,Risk margin,R0720,236.00,20190319,38
AUSTRIA,2016 Q4,Excess of assets over liabilities,R1000,34262.49,20190319,38
AUSTRIA,2017 Q1,Excess of assets over liabilities,R1000,34823.09,20190319,38
AUSTRIA,2017 Q1,Corporate Bonds,R0150,25237.97,20190319,38
AUSTRIA,2017 Q1,Technical provisions - life (excluding index-linked and unit-linked),R0600,61527.82,20190319,38
AUSTRIA,2017 Q1,Reinsurance recoverables from:,R0270,3770.44,20190319,38
AUSTRIA,2017 Q1,Best Estimate,R0580,695.92,20190319,38
AUSTRIA,2017 Q1,Pension benefit surplus,R0050,48.13,20190319,38
AUSTRIA,2017 Q1,"Any other assets, not elsewhere shown",R0420,278.44,20190319,38
AUSTRIA,2017 Q1,Technical provisions - health (similar to non-life),R0560,832.85,20190319,38
AUSTRIA,2017 Q1,Risk margin,R0550,814.28,20190319,38
AUSTRIA,2017 Q1,Own shares (held directly),R0390,5.97,20190319,38
AUSTRIA,2017 Q1,Loans and mortgages to individuals,R0250,114.08,20190319,38
AUSTRIA,2017 Q1,Best Estimate,R0540,7861.76,20190319,38
AUSTRIA,2017 Q1,Collateralised securities,R0170,108.59,20190319,38
AUSTRIA,2017 Q1,Bonds,R0130,51097.43,20190319,38
AUSTRIA,2017 Q1,Technical provisions calculated as a whole,R0530,12.47,20190319,38
AUSTRIA,2017 Q1,Derivatives,R0190,77.31,20190319,38
AUSTRIA,2017 Q1,Subordinated liabilities not in Basic Own Funds,R0860,0.00,20190319,38
AUSTRIA,2017 Q1,Loans on policies,R0240,46.84,20190319,38
AUSTRIA,2017 Q1,Risk margin,R0590,136.93,20190319,38
AUSTRIA,2017 Q1,Technical provisions – non-life (excluding health),R0520,8688.51,20190319,38
AUSTRIA,2017 Q1,Deferred tax assets,R0040,1096.44,20190319,38
AUSTRIA,2017 Q1,"Payables (trade, not insurance)",R0840,2086.14,20190319,38
AUSTRIA,2017 Q1,Technical provisions – non-life,R0510,9521.36,20190319,38
AUSTRIA,2017 Q1,Loans and mortgages,R0230,4520.35,20190319,38
AUSTRIA,2017 Q1,Total assets,R0500,139761.02,20190319,38
AUSTRIA,2017 Q1,Deferred tax liabilities,R0780,4078.71,20190319,38
AUSTRIA,2017 Q1,Total liabilities,R0900,104937.94,20190319,38
AUSTRIA,2017 Q1,Cash and cash equivalents,R0410,2516.62,20190319,38
AUSTRIA,2017 Q1,Other investments,R0210,0.01,20190319,38
AUSTRIA,2017 Q1,Debts owed to credit institutions,R0800,128.45,20190319,38
AUSTRIA,2017 Q1,Amounts due in respect of own fund items or initial fund called up but not yet paid in,R0400,0.00,20190319,38
AUSTRIA,2017 Q1,Equities - unlisted,R0120,525.32,20190319,38
AUSTRIA,2017 Q1,Insurance and intermediaries receivables,R0360,1086.43,20190319,38
AUSTRIA,2017 Q1,"Any other liabilities, not elsewhere shown",R0880,367.53,20190319,38
AUSTRIA,2017 Q1,Assets held for index-linked and unit-linked contracts,R0220,19687.96,20190319,38
AUSTRIA,2017 Q1,Subordinated liabilities,R0850,3156.70,20190319,38
AUSTRIA,2017 Q1,Best Estimate,R0670,57597.07,20190319,38
AUSTRIA,2017 Q1,Property (other than for own use),R0080,7186.72,20190319,38
AUSTRIA,2017 Q1,Reinsurance payables,R0830,576.38,20190319,38
AUSTRIA,2017 Q1,Non-life and health similar to non-life,R0280,2811.58,20190319,38
AUSTRIA,2017 Q1,Financial liabilities other than debts owed to credit institutions,R0810,446.29,20190319,38
AUSTRIA,2017 Q1,Technical provisions – index-linked and unit-linked,R0690,17527.67,20190319,38
AUSTRIA,2017 Q1,Reinsurance receivables,R0370,537.74,20190319,38
AUSTRIA,2017 Q1,Derivatives,R0790,65.25,20190319,38
AUSTRIA,2017 Q1,Deposits from reinsurers,R0770,1628.89,20190319,38
AUSTRIA,2017 Q1,Pension benefit obligations,R0760,2352.01,20190319,38
AUSTRIA,2017 Q1,"Holdings in related undertakings, including participations",R0090,27725.98,20190319,38
AUSTRIA,2017 Q1,Intangible assets,R0030,0.00,20190319,38
AUSTRIA,2017 Q1,Provisions other than technical provisions,R0750,771.43,20190319,38
AUSTRIA,2017 Q1,Equities,R0100,1090.15,20190319,38
AUSTRIA,2017 Q1,Investments (other than assets held for index-linked and unit-linked contracts),R0070,102288.68,20190319,38
AUSTRIA,2017 Q1,Equities - listed,R0110,564.82,20190319,38
AUSTRIA,2017 Q1,Risk margin,R0720,235.33,20190319,38
AUSTRIA,2017 Q1,Deposits other than cash equivalents,R0200,831.36,20190319,38
AUSTRIA,2017 Q1,Collective Investments Undertakings,R0180,14279.74,20190319,38
AUSTRIA,2017 Q1,Best Estimate,R0710,17242.25,20190319,38
AUSTRIA,2017 Q1,Structured notes,R0160,2218.96,20190319,38
AUSTRIA,2017 Q1,Government Bonds,R0140,23531.91,20190319,38
AUSTRIA,2017 Q1,Subordinated liabilities in Basic Own Funds,R0870,3156.70,20190319,38
AUSTRIA,2017 Q1,Technical provisions calculated as a whole,R0700,50.09,20190319,38
AUSTRIA,2017 Q1,Health similar to life,R0320,-6.09,20190319,38
AUSTRIA,2017 Q1,Insurance & intermediaries payables,R0820,678.25,20190319,38
AUSTRIA,2017 Q1,Risk margin,R0680,1064.31,20190319,38
AUSTRIA,2017 Q1,Other loans and mortgages,R0260,4359.44,20190319,38
AUSTRIA,2017 Q1,"Receivables (trade, not insurance)",R0380,1442.65,20190319,38
AUSTRIA,2017 Q1,"Life and health similar to life, excluding health and index-linked and unit-linked",R0310,586.90,20190319,38
AUSTRIA,2017 Q1,Technical provisions calculated as a whole,R0660,0.01,20190319,38
AUSTRIA,2017 Q1,Deposits to cedants,R0350,1562.81,20190319,38
AUSTRIA,2017 Q1,Technical provisions – life (excluding health and index-linked and unit-linked),R0650,58661.39,20190319,38
AUSTRIA,2017 Q1,Life index-linked and unit-linked,R0340,371.95,20190319,38
AUSTRIA,2017 Q1,Health similar to non-life,R0300,309.23,20190319,38
AUSTRIA,2017 Q1,Risk margin,R0640,848.79,20190319,38
AUSTRIA,2017 Q1,Contingent liabilities,R0740,25.04,20190319,38
AUSTRIA,2017 Q1,Best Estimate,R0630,2017.64,20190319,38
AUSTRIA,2017 Q1,Non-life excluding health,R0290,2502.35,20190319,38
AUSTRIA,2017 Q1,Technical provisions calculated as a whole,R0620,0.00,20190319,38
AUSTRIA,2017 Q1,"Property, plant & equipment held for own use",R0060,918.34,20190319,38
AUSTRIA,2017 Q1,Life excluding health and index-linked and unit-linked,R0330,593.00,20190319,38
AUSTRIA,2017 Q1,Technical provisions calculated as a whole,R0570,0.00,20190319,38
AUSTRIA,2017 Q1,Technical provisions - health (similar to life),R0610,2866.43,20190319,38
AUSTRIA,2017 Q2,Non-life and health similar to non-life,R0280,2901.61,20190319,38
AUSTRIA,2017 Q2,Corporate Bonds,R0150,26641.21,20190319,38
AUSTRIA,2017 Q2,Total liabilities,R0900,105191.07,20190319,38
AUSTRIA,2017 Q2,Reinsurance receivables,R0370,534.90,20190319,38
AUSTRIA,2017 Q2,Reinsurance recoverables from:,R0270,3851.88,20190319,38
AUSTRIA,2017 Q2,Best Estimate,R0580,705.97,20190319,38
AUSTRIA,2017 Q2,Reinsurance payables,R0830,597.76,20190319,38
AUSTRIA,2017 Q2,Derivatives,R0790,43.90,20190319,38
AUSTRIA,2017 Q2,Technical provisions calculated as a whole,R0570,0.00,20190319,38
AUSTRIA,2017 Q2,Technical provisions calculated as a whole,R0660,0.01,20190319,38
AUSTRIA,2017 Q2,Other loans and mortgages,R0260,4377.03,20190319,38
AUSTRIA,2017 Q2,Technical provisions - health (similar to non-life),R0560,845.22,20190319,38
AUSTRIA,2017 Q2,Deferred tax assets,R0040,1036.86,20190319,38
AUSTRIA,2017 Q2,Government Bonds,R0140,23498.87,20190319,38
AUSTRIA,2017 Q2,Risk margin,R0550,833.51,20190319,38
AUSTRIA,2017 Q2,Loans and mortgages to individuals,R0250,111.36,20190319,38
AUSTRIA,2017 Q2,Best Estimate,R0540,8004.12,20190319,38
AUSTRIA,2017 Q2,Property (other than for own use),R0080,7258.84,20190319,38
AUSTRIA,2017 Q2,Risk margin,R0590,139.25,20190319,38
AUSTRIA,2017 Q2,Best Estimate,R0670,56971.14,20190319,38
AUSTRIA,2017 Q2,Technical provisions calculated as a whole,R0530,12.47,20190319,38
AUSTRIA,2017 Q2,Technical provisions – non-life (excluding health),R0520,8850.10,20190319,38
AUSTRIA,2017 Q2,Loans on policies,R0240,46.07,20190319,38
AUSTRIA,2017 Q2,Bonds,R0130,51753.76,20190319,38
AUSTRIA,2017 Q2,Pension benefit obligations,R0760,2333.65,20190319,38
AUSTRIA,2017 Q2,Technical provisions – non-life,R0510,9695.31,20190319,38
AUSTRIA,2017 Q2,Amounts due in respect of own fund items or initial fund called up but not yet paid in,R0400,0.00,20190319,38
AUSTRIA,2017 Q2,Loans and mortgages,R0230,4534.46,20190319,38
AUSTRIA,2017 Q2,Total assets,R0500,140675.49,20190319,38
AUSTRIA,2017 Q2,Debts owed to credit institutions,R0800,143.78,20190319,38
AUSTRIA,2017 Q2,Derivatives,R0190,73.49,20190319,38
AUSTRIA,2017 Q2,Insurance & intermediaries payables,R0820,678.99,20190319,38
AUSTRIA,2017 Q2,Technical provisions - life (excluding index-linked and unit-linked),R0600,60650.77,20190319,38
AUSTRIA,2017 Q2,Subordinated liabilities,R0850,3838.05,20190319,38
AUSTRIA,2017 Q2,"Payables (trade, not insurance)",R0840,2220.37,20190319,38
AUSTRIA,2017 Q2,Other investments,R0210,0.01,20190319,38
AUSTRIA,2017 Q2,Own shares (held directly),R0390,6.69,20190319,38
AUSTRIA,2017 Q2,Deferred tax liabilities,R0780,4164.33,20190319,38
AUSTRIA,2017 Q2,Technical provisions – index-linked and unit-linked,R0690,17654.23,20190319,38
AUSTRIA,2017 Q2,Investments (other than assets held for index-linked and unit-linked contracts),R0070,103652.43,20190319,38
AUSTRIA,2017 Q2,Subordinated liabilities not in Basic Own Funds,R0860,0.00,20190319,38
AUSTRIA,2017 Q2,Equities,R0100,1148.22,20190319,38
AUSTRIA,2017 Q2,"Holdings in related undertakings, including participations",R0090,23884.41,20190319,38
AUSTRIA,2017 Q2,Deposits other than cash equivalents,R0200,887.24,20190319,38
AUSTRIA,2017 Q2,Equities - listed,R0110,610.99,20190319,38
AUSTRIA,2017 Q2,Technical provisions calculated as a whole,R0700,51.86,20190319,38
AUSTRIA,2017 Q2,Insurance and intermediaries receivables,R0360,966.64,20190319,38
AUSTRIA,2017 Q2,Deposits from reinsurers,R0770,1610.08,20190319,38
AUSTRIA,2017 Q2,Subordinated liabilities in Basic Own Funds,R0870,3838.05,20190319,38
AUSTRIA,2017 Q2,Deposits to cedants,R0350,1585.07,20190319,38
AUSTRIA,2017 Q2,Cash and cash equivalents,R0410,2281.71,20190319,38
AUSTRIA,2017 Q2,Provisions other than technical provisions,R0750,734.83,20190319,38
AUSTRIA,2017 Q2,Life index-linked and unit-linked,R0340,388.44,20190319,38
AUSTRIA,2017 Q2,Best Estimate,R0710,17369.50,20190319,38
AUSTRIA,2017 Q2,Technical provisions – life (excluding health and index-linked and unit-linked),R0650,57986.96,20190319,38
AUSTRIA,2017 Q2,"Any other liabilities, not elsewhere shown",R0880,329.01,20190319,38
AUSTRIA,2017 Q2,Life excluding health and index-linked and unit-linked,R0330,568.25,20190319,38
AUSTRIA,2017 Q2,Pension benefit surplus,R0050,47.65,20190319,38
AUSTRIA,2017 Q2,Assets held for index-linked and unit-linked contracts,R0220,19679.35,20190319,38
AUSTRIA,2017 Q2,Collective Investments Undertakings,R0180,18646.46,20190319,38
AUSTRIA,2017 Q2,Health similar to life,R0320,-6.43,20190319,38
AUSTRIA,2017 Q2,"Receivables (trade, not insurance)",R0380,1372.89,20190319,38
AUSTRIA,2017 Q2,Collateralised securities,R0170,109.31,20190319,38
AUSTRIA,2017 Q2,Equities - unlisted,R0120,537.23,20190319,38
AUSTRIA,2017 Q2,"Life and health similar to life, excluding health and index-linked and unit-linked",R0310,561.82,20190319,38
AUSTRIA,2017 Q2,"Any other assets, not elsewhere shown",R0420,250.89,20190319,38
AUSTRIA,2017 Q2,"Property, plant & equipment held for own use",R0060,874.07,20190319,38
AUSTRIA,2017 Q2,Health similar to non-life,R0300,316.28,20190319,38
AUSTRIA,2017 Q2,Risk margin,R0640,772.94,20190319,38
AUSTRIA,2017 Q2,Risk margin,R0680,1015.82,20190319,38
AUSTRIA,2017 Q2,Structured notes,R0160,1504.37,20190319,38
AUSTRIA,2017 Q2,Contingent liabilities,R0740,25.14,20190319,38
AUSTRIA,2017 Q2,Best Estimate,R0630,1890.86,20190319,38
AUSTRIA,2017 Q2,Non-life excluding health,R0290,2585.33,20190319,38
AUSTRIA,2017 Q2,Technical provisions calculated as a whole,R0620,0.00,20190319,38
AUSTRIA,2017 Q2,Risk margin,R0720,232.87,20190319,38
AUSTRIA,2017 Q2,Intangible assets,R0030,0.00,20190319,38
AUSTRIA,2017 Q2,Technical provisions - health (similar to life),R0610,2663.80,20190319,38
AUSTRIA,2017 Q2,Financial liabilities other than debts owed to credit institutions,R0810,470.85,20190319,38
AUSTRIA,2017 Q2,Excess of assets over liabilities,R1000,35484.43,20190319,38
AUSTRIA,2017 Q3,Excess of assets over liabilities,R1000,36504.68,20190319,38
AUSTRIA,2017 Q3,Non-life and health similar to non-life,R0280,2947.17,20190319,38
AUSTRIA,2017 Q3,Technical provisions - life (excluding index-linked and unit-linked),R0600,60508.89,20190319,38
AUSTRIA,2017 Q3,Corporate Bonds,R0150,27052.74,20190319,38
AUSTRIA,2017 Q3,Risk margin,R0590,139.82,20190319,38
AUSTRIA,2017 Q3,Reinsurance recoverables from:,R0270,3869.45,20190319,38
AUSTRIA,2017 Q3,Best Estimate,R0580,674.49,20190319,38
AUSTRIA,2017 Q3,Deferred tax assets,R0040,1035.10,20190319,38
AUSTRIA,2017 Q3,Technical provisions calculated as a whole,R0570,0.00,20190319,38
AUSTRIA,2017 Q3,Other loans and mortgages,R0260,4238.57,20190319,38
AUSTRIA,2017 Q3,Technical provisions - health (similar to non-life),R0560,814.31,20190319,38
AUSTRIA,2017 Q3,Government Bonds,R0140,23389.15,20190319,38
AUSTRIA,2017 Q3,Insurance & intermediaries payables,R0820,571.37,20190319,38
AUSTRIA,2017 Q3,Risk margin,R0550,831.81,20190319,38
AUSTRIA,2017 Q3,Loans and mortgages to individuals,R0250,89.18,20190319,38
AUSTRIA,2017 Q3,Best Estimate,R0540,7926.66,20190319,38
AUSTRIA,2017 Q3,Property (other than for own use),R0080,7278.94,20190319,38
